province,district,ward,long_province,long_district,long_ward,short_district,short_ward,province_english,district_english,ward_english,long_province_english,long_district_english,long_ward_english,short_district_english,short_ward_english,district_level,ward_level,district_level_english,ward_level_english
Tuyên Quang,Sơn Dương,Văn Phú,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Văn Phú,Sơn Dương,Văn Phú,Tuyen Quang,Son Duong,Van Phu,Tuyen Quang Province,Son Duong District,Van Phu Commune,Son Duong,Van Phu,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Chi Thiết,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Chi Thiết,Sơn Dương,Chi Thiết,Tuyen Quang,Son Duong,Chi Thiet,Tuyen Quang Province,Son Duong District,Chi Thiet Commune,Son Duong,Chi Thiet,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Đông Lợi,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Đông Lợi,Sơn Dương,Đông Lợi,Tuyen Quang,Son Duong,Dong Loi,Tuyen Quang Province,Son Duong District,Dong Loi Commune,Son Duong,Dong Loi,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Thiện Kế,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Thiện Kế,Sơn Dương,Thiện Kế,Tuyen Quang,Son Duong,Thien Ke,Tuyen Quang Province,Son Duong District,Thien Ke Commune,Son Duong,Thien Ke,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Hồng Sơn,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Hồng Sơn,Sơn Dương,Hồng Sơn,Tuyen Quang,Son Duong,Hong Son,Tuyen Quang Province,Son Duong District,Hong Son Commune,Son Duong,Hong Son,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Phú Lương,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Phú Lương,Sơn Dương,Phú Lương,Tuyen Quang,Son Duong,Phu Luong,Tuyen Quang Province,Son Duong District,Phu Luong Commune,Son Duong,Phu Luong,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Ninh Lai,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Ninh Lai,Sơn Dương,Ninh Lai,Tuyen Quang,Son Duong,Ninh Lai,Tuyen Quang Province,Son Duong District,Ninh Lai Commune,Son Duong,Ninh Lai,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Đại Phú,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Đại Phú,Sơn Dương,Đại Phú,Tuyen Quang,Son Duong,Dai Phu,Tuyen Quang Province,Son Duong District,Dai Phu Commune,Son Duong,Dai Phu,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Sơn Nam,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Sơn Nam,Sơn Dương,Sơn Nam,Tuyen Quang,Son Duong,Son Nam,Tuyen Quang Province,Son Duong District,Son Nam Commune,Son Duong,Son Nam,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Hào Phú,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Hào Phú,Sơn Dương,Hào Phú,Tuyen Quang,Son Duong,Hao Phu,Tuyen Quang Province,Son Duong District,Hao Phu Commune,Son Duong,Hao Phu,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Tam Đa,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Tam Đa,Sơn Dương,Tam Đa,Tuyen Quang,Son Duong,Tam Da,Tuyen Quang Province,Son Duong District,Tam Da Commune,Son Duong,Tam Da,Huyện,Xã,District,Commune
Tuyên Quang,Sơn Dương,Trường Sinh,Tỉnh Tuyên Quang,Huyện Sơn Dương,Xã Trường Sinh,Sơn Dương,Trường Sinh,Tuyen Quang,Son Duong,Truong Sinh,Tuyen Quang Province,Son Duong District,Truong Sinh Commune,Son Duong,Truong Sinh,Huyện,Xã,District,Commune
Lào Cai,Lào Cai,Duyên Hải,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Duyên Hải,Lào Cai,Duyên Hải,Lao Cai,Lao Cai,Duyen Hai,Lao Cai Province,Lao Cai City,Duyen Hai Ward,Lao Cai,Duyen Hai,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Lào Cai,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Lào Cai,Lào Cai,Lào Cai,Lao Cai,Lao Cai,Lao Cai,Lao Cai Province,Lao Cai City,Lao Cai Ward,Lao Cai,Lao Cai,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Cốc Lếu,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Cốc Lếu,Lào Cai,Cốc Lếu,Lao Cai,Lao Cai,Coc Leu,Lao Cai Province,Lao Cai City,Coc Leu Ward,Lao Cai,Coc Leu,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Kim Tân,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Kim Tân,Lào Cai,Kim Tân,Lao Cai,Lao Cai,Kim Tan,Lao Cai Province,Lao Cai City,Kim Tan Ward,Lao Cai,Kim Tan,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Bắc Lệnh,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Bắc Lệnh,Lào Cai,Bắc Lệnh,Lao Cai,Lao Cai,Bac Lenh,Lao Cai Province,Lao Cai City,Bac Lenh Ward,Lao Cai,Bac Lenh,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Pom Hán,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Pom Hán,Lào Cai,Pom Hán,Lao Cai,Lao Cai,Pom Han,Lao Cai Province,Lao Cai City,Pom Han Ward,Lao Cai,Pom Han,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Xuân Tăng,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Xuân Tăng,Lào Cai,Xuân Tăng,Lao Cai,Lao Cai,Xuan Tang,Lao Cai Province,Lao Cai City,Xuan Tang Ward,Lao Cai,Xuan Tang,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Bình Minh,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Bình Minh,Lào Cai,Bình Minh,Lao Cai,Lao Cai,Binh Minh,Lao Cai Province,Lao Cai City,Binh Minh Ward,Lao Cai,Binh Minh,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Thống Nhất,Tỉnh Lào Cai,Thành phố Lào Cai,Xã Thống Nhất,Lào Cai,Thống Nhất,Lao Cai,Lao Cai,Thong Nhat,Lao Cai Province,Lao Cai City,Thong Nhat Commune,Lao Cai,Thong Nhat,Thành phố,Xã,City,Commune
Lào Cai,Lào Cai,Đồng Tuyển,Tỉnh Lào Cai,Thành phố Lào Cai,Xã Đồng Tuyển,Lào Cai,Đồng Tuyển,Lao Cai,Lao Cai,Dong Tuyen,Lao Cai Province,Lao Cai City,Dong Tuyen Commune,Lao Cai,Dong Tuyen,Thành phố,Xã,City,Commune
Lào Cai,Lào Cai,Vạn Hòa,Tỉnh Lào Cai,Thành phố Lào Cai,Xã Vạn Hòa,Lào Cai,Vạn Hòa,Lao Cai,Lao Cai,Van Hoa,Lao Cai Province,Lao Cai City,Van Hoa Commune,Lao Cai,Van Hoa,Thành phố,Xã,City,Commune
Lào Cai,Lào Cai,Bắc Cường,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Bắc Cường,Lào Cai,Bắc Cường,Lao Cai,Lao Cai,Bac Cuong,Lao Cai Province,Lao Cai City,Bac Cuong Ward,Lao Cai,Bac Cuong,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Nam Cường,Tỉnh Lào Cai,Thành phố Lào Cai,Phường Nam Cường,Lào Cai,Nam Cường,Lao Cai,Lao Cai,Nam Cuong,Lao Cai Province,Lao Cai City,Nam Cuong Ward,Lao Cai,Nam Cuong,Thành phố,Phường,City,Ward
Lào Cai,Lào Cai,Cam Đường,Tỉnh Lào Cai,Thành phố Lào Cai,Xã Cam Đường,Lào Cai,Cam Đường,Lao Cai,Lao Cai,Cam Duong,Lao Cai Province,Lao Cai City,Cam Duong Commune,Lao Cai,Cam Duong,Thành phố,Xã,City,Commune
Lào Cai,Lào Cai,Tả Phời,Tỉnh Lào Cai,Thành phố Lào Cai,Xã Tả Phời,Lào Cai,Tả Phời,Lao Cai,Lao Cai,Ta Phoi,Lao Cai Province,Lao Cai City,Ta Phoi Commune,Lao Cai,Ta Phoi,Thành phố,Xã,City,Commune
Lào Cai,Lào Cai,Hợp Thành,Tỉnh Lào Cai,Thành phố Lào Cai,Xã Hợp Thành,Lào Cai,Hợp Thành,Lao Cai,Lao Cai,Hop Thanh,Lao Cai Province,Lao Cai City,Hop Thanh Commune,Lao Cai,Hop Thanh,Thành phố,Xã,City,Commune
Lào Cai,Lào Cai,Cốc San,Tỉnh Lào Cai,Thành phố Lào Cai,Xã Cốc San,Lào Cai,Cốc San,Lao Cai,Lao Cai,Coc San,Lao Cai Province,Lao Cai City,Coc San Commune,Lao Cai,Coc San,Thành phố,Xã,City,Commune
Lào Cai,Bát Xát,Bát Xát,Tỉnh Lào Cai,Huyện Bát Xát,Thị trấn Bát Xát,Bát Xát,Bát Xát,Lao Cai,Bat Xat,Bat Xat,Lao Cai Province,Bat Xat District,Bat Xat Town,Bat Xat,Bat Xat,Huyện,Thị trấn,District,Town
Lào Cai,Bát Xát,A Mú Sung,Tỉnh Lào Cai,Huyện Bát Xát,Xã A Mú Sung,Bát Xát,A Mú Sung,Lao Cai,Bat Xat,A Mu Sung,Lao Cai Province,Bat Xat District,A Mu Sung Commune,Bat Xat,A Mu Sung,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Nậm Chạc,Tỉnh Lào Cai,Huyện Bát Xát,Xã Nậm Chạc,Bát Xát,Nậm Chạc,Lao Cai,Bat Xat,Nam Chac,Lao Cai Province,Bat Xat District,Nam Chac Commune,Bat Xat,Nam Chac,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,A Lù,Tỉnh Lào Cai,Huyện Bát Xát,Xã A Lù,Bát Xát,A Lù,Lao Cai,Bat Xat,A Lu,Lao Cai Province,Bat Xat District,A Lu Commune,Bat Xat,A Lu,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Trịnh Tường,Tỉnh Lào Cai,Huyện Bát Xát,Xã Trịnh Tường,Bát Xát,Trịnh Tường,Lao Cai,Bat Xat,Trinh Tuong,Lao Cai Province,Bat Xat District,Trinh Tuong Commune,Bat Xat,Trinh Tuong,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Y Tý,Tỉnh Lào Cai,Huyện Bát Xát,Xã Y Tý,Bát Xát,Y Tý,Lao Cai,Bat Xat,Y Ty,Lao Cai Province,Bat Xat District,Y Ty Commune,Bat Xat,Y Ty,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Cốc Mỳ,Tỉnh Lào Cai,Huyện Bát Xát,Xã Cốc Mỳ,Bát Xát,Cốc Mỳ,Lao Cai,Bat Xat,Coc My,Lao Cai Province,Bat Xat District,Coc My Commune,Bat Xat,Coc My,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Dền Sáng,Tỉnh Lào Cai,Huyện Bát Xát,Xã Dền Sáng,Bát Xát,Dền Sáng,Lao Cai,Bat Xat,Den Sang,Lao Cai Province,Bat Xat District,Den Sang Commune,Bat Xat,Den Sang,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Bản Vược,Tỉnh Lào Cai,Huyện Bát Xát,Xã Bản Vược,Bát Xát,Bản Vược,Lao Cai,Bat Xat,Ban Vuoc,Lao Cai Province,Bat Xat District,Ban Vuoc Commune,Bat Xat,Ban Vuoc,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Sàng Ma Sáo,Tỉnh Lào Cai,Huyện Bát Xát,Xã Sàng Ma Sáo,Bát Xát,Sàng Ma Sáo,Lao Cai,Bat Xat,Sang Ma Sao,Lao Cai Province,Bat Xat District,Sang Ma Sao Commune,Bat Xat,Sang Ma Sao,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Bản Qua,Tỉnh Lào Cai,Huyện Bát Xát,Xã Bản Qua,Bát Xát,Bản Qua,Lao Cai,Bat Xat,Ban Qua,Lao Cai Province,Bat Xat District,Ban Qua Commune,Bat Xat,Ban Qua,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Mường Vi,Tỉnh Lào Cai,Huyện Bát Xát,Xã Mường Vi,Bát Xát,Mường Vi,Lao Cai,Bat Xat,Muong Vi,Lao Cai Province,Bat Xat District,Muong Vi Commune,Bat Xat,Muong Vi,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Dền Thàng,Tỉnh Lào Cai,Huyện Bát Xát,Xã Dền Thàng,Bát Xát,Dền Thàng,Lao Cai,Bat Xat,Den Thang,Lao Cai Province,Bat Xat District,Den Thang Commune,Bat Xat,Den Thang,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Bản Xèo,Tỉnh Lào Cai,Huyện Bát Xát,Xã Bản Xèo,Bát Xát,Bản Xèo,Lao Cai,Bat Xat,Ban Xeo,Lao Cai Province,Bat Xat District,Ban Xeo Commune,Bat Xat,Ban Xeo,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Mường Hum,Tỉnh Lào Cai,Huyện Bát Xát,Xã Mường Hum,Bát Xát,Mường Hum,Lao Cai,Bat Xat,Muong Hum,Lao Cai Province,Bat Xat District,Muong Hum Commune,Bat Xat,Muong Hum,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Trung Lèng Hồ,Tỉnh Lào Cai,Huyện Bát Xát,Xã Trung Lèng Hồ,Bát Xát,Trung Lèng Hồ,Lao Cai,Bat Xat,Trung Leng Ho,Lao Cai Province,Bat Xat District,Trung Leng Ho Commune,Bat Xat,Trung Leng Ho,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Quang Kim,Tỉnh Lào Cai,Huyện Bát Xát,Xã Quang Kim,Bát Xát,Quang Kim,Lao Cai,Bat Xat,Quang Kim,Lao Cai Province,Bat Xat District,Quang Kim Commune,Bat Xat,Quang Kim,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Pa Cheo,Tỉnh Lào Cai,Huyện Bát Xát,Xã Pa Cheo,Bát Xát,Pa Cheo,Lao Cai,Bat Xat,Pa Cheo,Lao Cai Province,Bat Xat District,Pa Cheo Commune,Bat Xat,Pa Cheo,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Nậm Pung,Tỉnh Lào Cai,Huyện Bát Xát,Xã Nậm Pung,Bát Xát,Nậm Pung,Lao Cai,Bat Xat,Nam Pung,Lao Cai Province,Bat Xat District,Nam Pung Commune,Bat Xat,Nam Pung,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Phìn Ngan,Tỉnh Lào Cai,Huyện Bát Xát,Xã Phìn Ngan,Bát Xát,Phìn Ngan,Lao Cai,Bat Xat,Phin Ngan,Lao Cai Province,Bat Xat District,Phin Ngan Commune,Bat Xat,Phin Ngan,Huyện,Xã,District,Commune
Lào Cai,Bát Xát,Tòng Sành,Tỉnh Lào Cai,Huyện Bát Xát,Xã Tòng Sành,Bát Xát,Tòng Sành,Lao Cai,Bat Xat,Tong Sanh,Lao Cai Province,Bat Xat District,Tong Sanh Commune,Bat Xat,Tong Sanh,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Pha Long,Tỉnh Lào Cai,Huyện Mường Khương,Xã Pha Long,Mường Khương,Pha Long,Lao Cai,Muong Khuong,Pha Long,Lao Cai Province,Muong Khuong District,Pha Long Commune,Muong Khuong,Pha Long,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Tả Ngải Chồ,Tỉnh Lào Cai,Huyện Mường Khương,Xã Tả Ngải Chồ,Mường Khương,Tả Ngải Chồ,Lao Cai,Muong Khuong,Ta Ngai Cho,Lao Cai Province,Muong Khuong District,Ta Ngai Cho Commune,Muong Khuong,Ta Ngai Cho,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Tung Chung Phố,Tỉnh Lào Cai,Huyện Mường Khương,Xã Tung Chung Phố,Mường Khương,Tung Chung Phố,Lao Cai,Muong Khuong,Tung Chung Pho,Lao Cai Province,Muong Khuong District,Tung Chung Pho Commune,Muong Khuong,Tung Chung Pho,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Mường Khương,Tỉnh Lào Cai,Huyện Mường Khương,Thị trấn Mường Khương,Mường Khương,Mường Khương,Lao Cai,Muong Khuong,Muong Khuong,Lao Cai Province,Muong Khuong District,Muong Khuong Town,Muong Khuong,Muong Khuong,Huyện,Thị trấn,District,Town
Lào Cai,Mường Khương,Dìn Chin,Tỉnh Lào Cai,Huyện Mường Khương,Xã Dìn Chin,Mường Khương,Dìn Chin,Lao Cai,Muong Khuong,Din Chin,Lao Cai Province,Muong Khuong District,Din Chin Commune,Muong Khuong,Din Chin,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Tả Gia Khâu,Tỉnh Lào Cai,Huyện Mường Khương,Xã Tả Gia Khâu,Mường Khương,Tả Gia Khâu,Lao Cai,Muong Khuong,Ta Gia Khau,Lao Cai Province,Muong Khuong District,Ta Gia Khau Commune,Muong Khuong,Ta Gia Khau,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Nậm Chảy,Tỉnh Lào Cai,Huyện Mường Khương,Xã Nậm Chảy,Mường Khương,Nậm Chảy,Lao Cai,Muong Khuong,Nam Chay,Lao Cai Province,Muong Khuong District,Nam Chay Commune,Muong Khuong,Nam Chay,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Nấm Lư,Tỉnh Lào Cai,Huyện Mường Khương,Xã Nấm Lư,Mường Khương,Nấm Lư,Lao Cai,Muong Khuong,Nam Lu,Lao Cai Province,Muong Khuong District,Nam Lu Commune,Muong Khuong,Nam Lu,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Lùng Khấu Nhin,Tỉnh Lào Cai,Huyện Mường Khương,Xã Lùng Khấu Nhin,Mường Khương,Lùng Khấu Nhin,Lao Cai,Muong Khuong,Lung Khau Nhin,Lao Cai Province,Muong Khuong District,Lung Khau Nhin Commune,Muong Khuong,Lung Khau Nhin,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Thanh Bình,Tỉnh Lào Cai,Huyện Mường Khương,Xã Thanh Bình,Mường Khương,Thanh Bình,Lao Cai,Muong Khuong,Thanh Binh,Lao Cai Province,Muong Khuong District,Thanh Binh Commune,Muong Khuong,Thanh Binh,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Cao Sơn,Tỉnh Lào Cai,Huyện Mường Khương,Xã Cao Sơn,Mường Khương,Cao Sơn,Lao Cai,Muong Khuong,Cao Son,Lao Cai Province,Muong Khuong District,Cao Son Commune,Muong Khuong,Cao Son,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Lùng Vai,Tỉnh Lào Cai,Huyện Mường Khương,Xã Lùng Vai,Mường Khương,Lùng Vai,Lao Cai,Muong Khuong,Lung Vai,Lao Cai Province,Muong Khuong District,Lung Vai Commune,Muong Khuong,Lung Vai,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Bản Lầu,Tỉnh Lào Cai,Huyện Mường Khương,Xã Bản Lầu,Mường Khương,Bản Lầu,Lao Cai,Muong Khuong,Ban Lau,Lao Cai Province,Muong Khuong District,Ban Lau Commune,Muong Khuong,Ban Lau,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,La Pan Tẩn,Tỉnh Lào Cai,Huyện Mường Khương,Xã La Pan Tẩn,Mường Khương,La Pan Tẩn,Lao Cai,Muong Khuong,La Pan Tan,Lao Cai Province,Muong Khuong District,La Pan Tan Commune,Muong Khuong,La Pan Tan,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Tả Thàng,Tỉnh Lào Cai,Huyện Mường Khương,Xã Tả Thàng,Mường Khương,Tả Thàng,Lao Cai,Muong Khuong,Ta Thang,Lao Cai Province,Muong Khuong District,Ta Thang Commune,Muong Khuong,Ta Thang,Huyện,Xã,District,Commune
Lào Cai,Mường Khương,Bản Sen,Tỉnh Lào Cai,Huyện Mường Khương,Xã Bản Sen,Mường Khương,Bản Sen,Lao Cai,Muong Khuong,Ban Sen,Lao Cai Province,Muong Khuong District,Ban Sen Commune,Muong Khuong,Ban Sen,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Nàn Sán,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Nàn Sán,Si Ma Cai,Nàn Sán,Lao Cai,Si Ma Cai,Nan San,Lao Cai Province,Si Ma Cai District,Nan San Commune,Si Ma Cai,Nan San,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Thào Chư Phìn,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Thào Chư Phìn,Si Ma Cai,Thào Chư Phìn,Lao Cai,Si Ma Cai,Thao Chu Phin,Lao Cai Province,Si Ma Cai District,Thao Chu Phin Commune,Si Ma Cai,Thao Chu Phin,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Bản Mế,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Bản Mế,Si Ma Cai,Bản Mế,Lao Cai,Si Ma Cai,Ban Me,Lao Cai Province,Si Ma Cai District,Ban Me Commune,Si Ma Cai,Ban Me,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Si Ma Cai,Tỉnh Lào Cai,Huyện Si Ma Cai,Thị trấn Si Ma Cai,Si Ma Cai,Si Ma Cai,Lao Cai,Si Ma Cai,Si Ma Cai,Lao Cai Province,Si Ma Cai District,Si Ma Cai Town,Si Ma Cai,Si Ma Cai,Huyện,Thị trấn,District,Town
Lào Cai,Si Ma Cai,Sán Chải,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Sán Chải,Si Ma Cai,Sán Chải,Lao Cai,Si Ma Cai,San Chai,Lao Cai Province,Si Ma Cai District,San Chai Commune,Si Ma Cai,San Chai,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Lùng Thẩn,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Lùng Thẩn,Si Ma Cai,Lùng Thẩn,Lao Cai,Si Ma Cai,Lung Than,Lao Cai Province,Si Ma Cai District,Lung Than Commune,Si Ma Cai,Lung Than,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Cán Cấu,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Cán Cấu,Si Ma Cai,Cán Cấu,Lao Cai,Si Ma Cai,Can Cau,Lao Cai Province,Si Ma Cai District,Can Cau Commune,Si Ma Cai,Can Cau,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Sín Chéng,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Sín Chéng,Si Ma Cai,Sín Chéng,Lao Cai,Si Ma Cai,Sin Cheng,Lao Cai Province,Si Ma Cai District,Sin Cheng Commune,Si Ma Cai,Sin Cheng,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Quan Hồ Thẩn,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Quan Hồ Thẩn,Si Ma Cai,Quan Hồ Thẩn,Lao Cai,Si Ma Cai,Quan Ho Than,Lao Cai Province,Si Ma Cai District,Quan Ho Than Commune,Si Ma Cai,Quan Ho Than,Huyện,Xã,District,Commune
Lào Cai,Si Ma Cai,Nàn Xín,Tỉnh Lào Cai,Huyện Si Ma Cai,Xã Nàn Xín,Si Ma Cai,Nàn Xín,Lao Cai,Si Ma Cai,Nan Xin,Lao Cai Province,Si Ma Cai District,Nan Xin Commune,Si Ma Cai,Nan Xin,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Bắc Hà,Tỉnh Lào Cai,Huyện Bắc Hà,Thị trấn Bắc Hà,Bắc Hà,Bắc Hà,Lao Cai,Bac Ha,Bac Ha,Lao Cai Province,Bac Ha District,Bac Ha Town,Bac Ha,Bac Ha,Huyện,Thị trấn,District,Town
Lào Cai,Bắc Hà,Lùng Cải,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Lùng Cải,Bắc Hà,Lùng Cải,Lao Cai,Bac Ha,Lung Cai,Lao Cai Province,Bac Ha District,Lung Cai Commune,Bac Ha,Lung Cai,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Lùng Phình,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Lùng Phình,Bắc Hà,Lùng Phình,Lao Cai,Bac Ha,Lung Phinh,Lao Cai Province,Bac Ha District,Lung Phinh Commune,Bac Ha,Lung Phinh,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Tả Van Chư,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Tả Van Chư,Bắc Hà,Tả Van Chư,Lao Cai,Bac Ha,Ta Van Chu,Lao Cai Province,Bac Ha District,Ta Van Chu Commune,Bac Ha,Ta Van Chu,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Tả Củ Tỷ,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Tả Củ Tỷ,Bắc Hà,Tả Củ Tỷ,Lao Cai,Bac Ha,Ta Cu Ty,Lao Cai Province,Bac Ha District,Ta Cu Ty Commune,Bac Ha,Ta Cu Ty,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Thải Giàng Phố,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Thải Giàng Phố,Bắc Hà,Thải Giàng Phố,Lao Cai,Bac Ha,Thai Giang Pho,Lao Cai Province,Bac Ha District,Thai Giang Pho Commune,Bac Ha,Thai Giang Pho,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Hoàng Thu Phố,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Hoàng Thu Phố,Bắc Hà,Hoàng Thu Phố,Lao Cai,Bac Ha,Hoang Thu Pho,Lao Cai Province,Bac Ha District,Hoang Thu Pho Commune,Bac Ha,Hoang Thu Pho,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Bản Phố,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Bản Phố,Bắc Hà,Bản Phố,Lao Cai,Bac Ha,Ban Pho,Lao Cai Province,Bac Ha District,Ban Pho Commune,Bac Ha,Ban Pho,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Bản Liền,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Bản Liền,Bắc Hà,Bản Liền,Lao Cai,Bac Ha,Ban Lien,Lao Cai Province,Bac Ha District,Ban Lien Commune,Bac Ha,Ban Lien,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Tà Chải,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Tà Chải,Bắc Hà,Tà Chải,Lao Cai,Bac Ha,Ta Chai,Lao Cai Province,Bac Ha District,Ta Chai Commune,Bac Ha,Ta Chai,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Na Hối,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Na Hối,Bắc Hà,Na Hối,Lao Cai,Bac Ha,Na Hoi,Lao Cai Province,Bac Ha District,Na Hoi Commune,Bac Ha,Na Hoi,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Cốc Ly,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Cốc Ly,Bắc Hà,Cốc Ly,Lao Cai,Bac Ha,Coc Ly,Lao Cai Province,Bac Ha District,Coc Ly Commune,Bac Ha,Coc Ly,Huyện,Xã,District,Commune
Lào Cai,Bắc Hà,Nậm Mòn,Tỉnh Lào Cai,Huyện Bắc Hà,Xã Nậm Mòn,Bắc Hà,Nậm Mòn,Lao Cai,Bac Ha,Nam Mon,Lao Cai Province,Bac Ha District,Nam Mon Commune,Bac Ha,Nam Mon,Huyện,Xã,District,Commune
